Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
Plymouth;Plymouth;Tafel-Bay;Insulä¦ fortunatä¦;Marseille
London;London;Tafelberges;Irrland;Marvayles of Inde
Plymouth;Plymouth;False-Bay;Isle de France;Maschiko
Plymouth;Plymouth;Indien;Isle de St. Pierre;Matavaä
Plymouth;Plymouth;Tafelberge;Isle ronde;Matavai
Cornwall;Cornwall;Löwenberg;Isles de fortune;Matavai-Bay
Poldyre;Poldyre;Löwenkopf;Japan;Matavai-Fluss
Kenwyn;Kenwyn;Carlsberg;Juan Fernandez;Matogrosso
Plymouth;Plymouth;Robben-Eyland;Kamtschatka;Mauretanien
Plymouth;Plymouth;blauen Berge;Kanarischen Inseln;Mauritius
Madera;Madera;Tiegerberge;Kap;Maurua
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;Hout-Bay;Kenwyn;Mayo
Cap de la CirconciÅ¿ion;Cap de la Circoncision;Holz-Bay;Keppels-Eyland;Mexico
Greenwich;Greenwich;Tafelbay;Kerguelens Inseln;Middelburgh
SuÍ¤dpol;Südpol;Hottentot-Holland;Ketten-Insel;mittelländische Meer
VorgebuÍ¤rge de la CirconciÅ¿ion;Vorgebürge de la Circoncision;Stellenbosch;Kew;mittelländischen und persischen See
VorgebuÍ¤rge der guten Hofnung;Vorgebürge der guten Hofnung;Constantia;Klein-Tahiti;Molukkischen Inseln
Spithead;Spithead;Rondebosch;la Encarnacion;Mopiha
Portsmouth;Portsmouth;Niewlandt;Ladrones;Motu-Aro
Cornwall;Cornwall;Alphen;Ladronischen Inseln;Motuh
Drakeâ€™s Island;Drake's Island;Falsebay;Lancerota;N. Seeland
Plymouth;Plymouth;China;Land;Neu Seeland
Greenwich;Greenwich;Neuholland;l'Archipel des navigateurs;Neu-1773. October. Seeland
Plymouth-Haven;Plymouth-Haven;Süd-See;le Boudoir;Neu-Albion
Plymouth;Plymouth;rothen See;Levante;Neu-Britannien
Drake-Eyland;Drake-Eyland;mittelländische Meer;Leyden;Neu-Caledonien
Plymouth;Plymouth;Arabiä¦;Lima;Neuen-Hebriden
Englands;Englands;Russland;Lissabon;Neu-Guinea
EddiÅ¿tone;Eddistone;Isle de France;London;Neu-Holland
VorgebuÍ¤rge Ortegal;Vorgebürge Ortegal;Bourbon;LongEyland;Neu-Irrland
Spanien;Spanien;Schiras;Long-Eyland;Neu-Seeland
Ortiguera;Ortiguera;Persien;Löwenberg;Neu-York
Promontorium trileucum;Promontorium trileucum;Caps;Löwenkopf;Niewlandt
Corunna;Corunna;Stellenbusch;Luncheon-cove;Nord-Amerika
the Groyn;the Groyn;Leyden;Mäatea;Normandie
MarÅ¿eille;Marseille;Kap;Mäatua;Norwegen
Ferrol;Ferrol;Japan;Madagascar;O-Aitepieha
Corunna;Corunna;Kew;Madera;O-Hamane
Ferrol;Ferrol;Saldanha-Bay;Madrid;O-Pahutu
FiniÅ¿terre;Finisterre;Oranien;Magellanische Meer-Enge;O-Parre
Cap FiniÅ¿terre;Cap Finisterre;Asien;Magellanischen Meer-Enge;Opoa
Porto-San- to;Porto-Santo;Senegal;Maitea;O-Raietea
Madera;Madera;Brest;Manilla;Oranien
Madera;Madera;Grönland;Maria-Bay;Orimatarra
Ilhas de- Å¿ertas;Ilhas desertas;Cap Circoncision;Marien-Bay;Ortiguera
